x	y	theta1	theta2	steps1	steps2	interval
0.000	1.028	185.825	69.359	110	1	322
0.000	2.050	177.230	70.416	98	-12	287
0.335	3.286	166.160	70.082	126	4	369
0.986	4.664	153.316	69.472	146	7	427
2.447	5.445	140.973	61.607	140	89	410
3.791	5.433	133.583	51.524	84	115	336
4.726	5.432	127.828	45.061	65	74	216
5.730	5.432	121.226	38.678	75	73	219
6.735	5.432	114.271	32.970	79	65	231
7.739	5.432	107.008	28.039	83	56	243
8.743	5.432	99.433	23.976	86	46	251
9.944	5.037	91.421	16.707	91	83	266
10.000	3.931	94.226	6.365	-32	118	345
10.000	2.927	95.960	-3.154	-20	108	316
10.000	1.924	96.641	-13.277	-8	115	336
9.918	1.028	97.058	-22.900	-5	109	319
8.913	1.028	105.666	-19.038	-98	-44	287
7.908	1.028	114.666	-13.194	-102	-66	298
6.902	1.028	124.151	-5.307	-108	-90	316
5.897	1.028	134.132	4.387	-114	-110	333
4.891	1.028	144.470	15.354	-118	-125	366
3.886	1.028	154.821	26.923	-118	-132	386
2.880	1.028	164.673	38.508	-112	-132	386
1.875	1.028	173.475	49.743	-100	-128	375
0.870	1.028	180.812	60.477	-83	-122	357
0.326	1.875	177.037	67.000	43	-74	216
0.463	3.160	166.510	68.550	120	-18	351
1.104	4.508	153.871	67.776	144	9	421
2.464	5.276	141.985	60.512	135	83	395
3.821	5.263	134.381	50.242	87	117	342
4.139	4.646	135.754	44.111	-16	70	205
3.903	3.778	141.796	40.893	-69	37	202
3.653	2.830	148.386	38.058	-75	32	219
3.416	1.935	154.843	36.156	-73	22	213
2.418	1.439	166.168	44.825	-129	-99	377
1.013	1.745	174.159	60.022	-91	-173	506
1.073	2.218	170.233	60.412	45	-4	131
0.577	2.389	171.711	65.546	-17	-58	169
1.055	3.187	163.343	63.230	95	26	278
1.547	2.920	162.423	57.864	10	61	178
1.384	2.038	169.627	56.954	-82	10	240
0.548	2.520	170.871	66.108	-14	-104	304
1.008	3.299	162.797	64.015	92	24	269
2.325	3.788	152.116	54.229	122	111	357
1.996	4.129	151.865	58.535	3	-49	143
0.671	3.650	161.957	68.200	-115	-110	336
1.835	2.252	165.128	53.089	-36	172	503
2.564	1.855	162.348	44.583	32	97	284
1.937	2.537	162.539	52.977	-2	-96	281
2.300	2.880	157.916	50.756	53	25	155
2.921	3.212	151.692	46.460	71	49	208
1.534	3.373	159.432	59.527	-88	-149	436
2.685	2.510	157.458	45.717	22	157	459
3.015	3.575	148.988	47.315	96	-18	281
3.271	4.523	141.961	50.053	80	-31	234
2.366	4.749	145.877	58.451	-45	-96	281
1.808	4.233	152.218	60.588	-72	-24	210
2.697	3.689	150.410	50.580	21	114	333
1.996	3.734	154.406	56.838	-45	-71	208
1.367	4.245	154.421	64.400	0	-86	251
1.017	4.165	156.679	67.078	-26	-30	87
1.524	4.628	151.042	64.774	64	26	187
1.487	4.819	149.922	65.991	13	-14	41
2.176	4.996	145.303	61.256	53	54	158
2.232	5.021	144.849	60.947	5	4	14
2.607	5.203	141.689	58.987	36	22	105
4.452	4.055	136.566	38.152	58	237	694
5.013	3.178	136.147	28.235	5	113	331
5.708	3.005	131.131	21.471	57	77	225
5.449	2.058	136.208	16.881	-58	52	169
4.823	2.266	141.132	24.089	-56	-82	240
3.928	2.089	149.675	31.722	-97	-87	284
4.612	1.425	146.040	20.981	41	122	357
5.509	1.431	137.246	11.660	100	106	310
6.339	2.235	127.795	10.537	108	13	316
6.593	3.179	123.362	16.235	50	-65	190
6.837	4.122	118.615	22.102	54	-67	196
6.709	5.257	115.226	31.724	39	-109	319
5.761	5.273	121.781	37.317	-75	-64	219
5.471	4.726	126.310	35.242	-52	24	152
5.235	3.862	131.708	30.994	-61	48	178
5.932	3.809	126.624	25.602	58	61	178
6.174	4.754	121.187	30.962	62	-61	181
7.307	4.088	115.111	19.108	69	135	395
7.047	3.145	119.738	12.921	-53	70	205
6.800	2.208	123.773	6.694	-46	71	208
7.568	1.426	117.722	-6.472	69	150	439
8.707	1.555	107.587	-12.070	115	64	336
9.283	2.657	102.134	-3.338	62	-99	290
9.540	3.590	98.661	4.609	40	-90	263
9.827	4.683	93.580	13.774	58	-104	304
8.770	5.270	99.876	22.453	-72	-99	290
7.504	4.752	111.403	23.507	-131	-12	383
8.856	4.919	100.501	19.031	124	51	363
8.789	3.894	104.016	10.205	-40	100	292
8.542	2.959	107.842	2.788	-44	84	246
8.270	1.990	111.203	-5.163	-38	90	263
7.706	2.480	115.515	2.916	-49	-92	269
7.950	3.414	111.804	9.906	42	-80	234
8.208	4.362	107.315	16.843	51	-79	231
