x	y	theta1	theta2	steps1	steps2	interval
0.272	5.771	148.005	81.270	540	-134	1582
0.272	5.771	148.007	81.274	0	0	0
0.271	5.771	148.009	81.278	0	0	0
0.271	5.771	148.012	81.282	0	0	0
0.270	5.771	148.014	81.286	0	0	0
0.270	5.771	148.016	81.290	0	0	0
0.269	5.771	148.018	81.294	0	0	0
0.269	5.771	148.021	81.298	0	0	0
0.268	5.771	148.023	81.302	0	0	0
0.268	5.771	148.025	81.306	0	0	0
0.267	5.771	148.027	81.310	0	0	0
0.267	5.771	148.030	81.314	0	0	0
0.266	5.771	148.032	81.318	0	0	0
0.266	5.771	148.034	81.322	0	0	0
0.265	5.770	148.036	81.326	0	0	0
0.265	5.770	148.039	81.329	0	0	0
0.264	5.770	148.041	81.333	0	0	0
0.264	5.770	148.043	81.337	0	0	0
0.263	5.770	148.045	81.341	0	0	0
0.263	5.770	148.048	81.345	0	0	0
0.262	5.770	148.050	81.349	0	0	0
0.262	5.770	148.052	81.353	0	0	0
0.261	5.770	148.054	81.357	0	0	0
0.261	5.770	148.057	81.361	0	0	0
0.260	5.770	148.059	81.365	0	0	0
0.260	5.770	148.061	81.369	0	0	0
0.259	5.770	148.063	81.373	0	0	0
0.259	5.770	148.066	81.377	0	0	0
0.258	5.769	148.068	81.381	0	0	0
0.258	5.769	148.070	81.385	0	0	0
0.257	5.769	148.072	81.389	0	0	0
0.257	5.769	148.075	81.393	0	0	0
0.256	5.769	148.077	81.397	0	0	0
0.256	5.769	148.079	81.401	0	0	0
0.255	5.769	148.081	81.405	0	0	0
0.255	5.769	148.084	81.409	0	0	0
0.254	5.769	148.086	81.413	0	0	0
0.254	5.769	148.088	81.417	0	0	0
0.253	5.769	148.090	81.421	0	0	0
0.253	5.769	148.093	81.425	0	0	0
0.252	5.769	148.095	81.429	0	0	0
0.252	5.769	148.097	81.433	0	0	0
0.251	5.768	148.099	81.436	0	0	0
0.251	5.768	148.101	81.440	0	0	0
0.250	5.768	148.104	81.444	0	0	0
0.250	5.768	148.106	81.448	0	0	0
0.249	5.768	148.108	81.452	0	0	0
0.249	5.768	148.110	81.456	0	0	0
0.248	5.768	148.113	81.460	0	0	0
0.248	5.768	148.115	81.464	0	0	0
0.247	5.768	148.117	81.468	0	0	0
0.247	5.768	148.119	81.472	0	0	0
0.246	5.768	148.122	81.476	0	0	0
0.246	5.768	148.124	81.480	0	0	0
0.246	5.768	148.124	81.480	0	0	0
0.245	5.768	148.126	81.484	0	0	0
0.245	5.768	148.129	81.488	0	0	0
0.244	5.767	148.131	81.492	0	0	0
0.244	5.767	148.133	81.496	0	0	0
0.243	5.767	148.136	81.499	0	0	0
0.243	5.767	148.138	81.503	0	0	0
0.242	5.767	148.140	81.507	0	0	0
0.242	5.767	148.142	81.511	0	0	0
0.241	5.767	148.145	81.515	0	0	0
0.241	5.767	148.147	81.519	0	0	0
0.240	5.767	148.149	81.523	0	0	0
0.240	5.767	148.152	81.527	0	0	0
0.239	5.767	148.154	81.530	0	0	0
0.239	5.767	148.156	81.534	0	0	0
0.238	5.766	148.159	81.538	0	0	0
0.238	5.766	148.161	81.542	0	0	0
0.237	5.766	148.163	81.546	0	0	0
0.237	5.766	148.166	81.550	0	0	0
