x	y	theta1	theta2	steps1	steps2	interval
4.995	5.118	127.700	41.119	771	323	2258
4.984	5.118	127.776	41.195	-1	-1	2
4.972	5.118	127.855	41.274	-1	-1	2
4.961	5.118	127.931	41.351	-1	-1	2
4.949	5.118	128.009	41.430	-1	-1	2
4.937	5.118	128.085	41.507	-1	-1	2
4.926	5.118	128.163	41.586	-1	-1	2
4.914	5.118	128.239	41.663	-1	-1	2
4.902	5.118	128.317	41.742	-1	-1	2
4.891	5.118	128.393	41.819	-1	-1	2
4.879	5.118	128.471	41.899	-1	-1	2
4.868	5.118	128.547	41.976	-1	-1	2
4.856	5.118	128.625	42.056	-1	-1	2
4.844	5.118	128.700	42.133	-1	-1	2
4.833	5.118	128.778	42.213	-1	-1	2
4.821	5.117	128.854	42.290	-1	-1	2
4.809	5.117	128.931	42.371	-1	-1	2
4.798	5.117	129.007	42.448	-1	-1	2
4.786	5.117	129.084	42.528	-1	-1	2
4.775	5.117	129.160	42.606	-1	-1	2
4.763	5.117	129.237	42.686	-1	-1	2
4.751	5.117	129.312	42.764	-1	-1	2
4.739	5.117	129.390	42.845	-1	-1	2
4.728	5.117	129.465	42.923	-1	-1	2
4.716	5.117	129.542	43.004	-1	-1	2
4.705	5.117	129.617	43.082	-1	-1	2
4.693	5.117	129.694	43.163	-1	-1	2
4.681	5.117	129.769	43.241	-1	-1	2
4.670	5.117	129.846	43.322	-1	-1	2
4.658	5.117	129.920	43.400	-1	-1	2
4.647	5.117	129.995	43.479	-1	-1	2
4.635	5.117	130.072	43.560	-1	-1	2
4.624	5.117	130.146	43.639	-1	-1	2
4.612	5.117	130.223	43.720	-1	-1	2
4.600	5.117	130.298	43.799	-1	-1	2
4.588	5.117	130.374	43.881	-1	-1	2
4.577	5.117	130.448	43.960	-1	-1	2
4.565	5.117	130.525	44.041	-1	-1	2
4.554	5.117	130.599	44.120	-1	-1	2
4.542	5.117	130.676	44.202	-1	-1	2
4.530	5.117	130.750	44.282	-1	-1	2
4.519	5.117	130.826	44.364	-1	-1	2
4.507	5.117	130.900	44.443	-1	-1	2
4.495	5.117	130.976	44.525	-1	-1	2
4.484	5.117	131.050	44.605	-1	-1	2
4.472	5.117	131.126	44.687	-1	-1	2
4.461	5.117	131.200	44.767	-1	-1	2
4.449	5.117	131.276	44.849	-1	-1	2
4.437	5.117	131.349	44.929	-1	-1	2
4.426	5.117	131.425	45.011	-1	-1	2
4.414	5.117	131.499	45.091	-1	-1	2
4.402	5.117	131.574	45.174	-1	-1	2
4.391	5.117	131.648	45.254	-1	-1	2
4.379	5.117	131.723	45.337	-1	-1	2
4.368	5.117	131.797	45.417	-1	-1	2
4.356	5.117	131.872	45.500	-1	-1	2
4.344	5.117	131.945	45.581	-1	-1	2
4.332	5.117	132.021	45.664	-1	-1	2
4.321	5.117	132.093	45.744	-1	-1	2
4.309	5.117	132.169	45.828	-1	-1	2
4.298	5.117	132.242	45.908	-1	-1	2
4.286	5.117	132.314	45.989	-1	-1	2
4.275	5.117	132.389	46.073	-1	-1	2
4.263	5.117	132.462	46.153	-1	-1	2
4.251	5.116	132.537	46.237	-1	-1	2
4.240	5.116	132.610	46.318	-1	-1	2
4.228	5.116	132.684	46.402	-1	-1	2
4.217	5.116	132.757	46.483	-1	-1	2
4.205	5.116	132.832	46.567	-1	-1	2
4.193	5.116	132.904	46.648	-1	-1	2
4.181	5.116	132.978	46.732	-1	-1	2
4.170	5.116	133.050	46.814	-1	-1	2
4.158	5.116	133.125	46.898	-1	-1	2
4.147	5.116	133.197	46.979	-1	-1	2
4.135	5.116	133.271	47.064	-1	-1	2
4.123	5.116	133.343	47.145	-1	-1	2
4.112	5.116	133.417	47.230	-1	-1	2
4.100	5.116	133.489	47.312	-1	-1	2
4.088	5.116	133.563	47.396	-1	-1	2
4.077	5.116	133.635	47.478	-1	-1	2
4.065	5.116	133.709	47.563	-1	-1	2
4.054	5.116	133.780	47.645	-1	-1	2
4.042	5.116	133.854	47.730	-1	-1	2
4.030	5.116	133.926	47.812	-1	-1	2
4.028	5.107	133.990	47.776	-1	0	2
4.028	5.096	134.052	47.703	-1	1	2
4.028	5.084	134.116	47.628	-1	1	2
4.028	5.073	134.178	47.555	-1	1	2
4.029	5.061	134.242	47.479	-1	1	2
4.029	5.049	134.303	47.406	-1	1	2
4.029	5.038	134.365	47.334	-1	1	2
4.029	5.026	134.429	47.259	-1	1	2
4.029	5.015	134.490	47.186	-1	1	2
4.029	5.003	134.554	47.111	-1	1	2
4.030	4.992	134.613	47.041	-1	1	2
4.030	4.980	134.677	46.966	-1	1	2
4.030	4.968	134.738	46.894	-1	1	2
4.030	4.957	134.801	46.819	-1	1	2
4.030	4.945	134.862	46.747	-1	1	2
4.031	4.933	134.925	46.673	-1	1	2
4.031	4.922	134.986	46.601	-1	1	2
4.031	4.910	135.049	46.526	-1	1	2
4.031	4.899	135.110	46.454	-1	1	2
4.034	4.889	135.145	46.379	0	1	2
4.045	4.888	135.079	46.287	1	1	2
4.057	4.887	135.011	46.193	1	1	2
4.068	4.885	134.945	46.102	1	1	2
4.080	4.884	134.880	46.010	1	1	2
4.091	4.882	134.822	45.913	1	1	2
4.102	4.879	134.761	45.813	1	1	2
4.114	4.877	134.702	45.716	1	1	2
4.125	4.874	134.642	45.616	1	1	2
4.136	4.872	134.583	45.519	1	1	2
4.148	4.869	134.522	45.419	1	1	2
4.159	4.867	134.463	45.323	1	1	2
4.171	4.864	134.402	45.223	1	1	2
4.182	4.862	134.342	45.126	1	1	2
4.193	4.859	134.281	45.026	1	1	2
4.205	4.857	134.222	44.930	1	1	2
4.216	4.854	134.160	44.830	1	1	2
4.226	4.850	134.120	44.728	0	1	2
4.237	4.845	134.080	44.621	0	1	2
4.247	4.839	134.039	44.511	0	1	2
4.257	4.834	133.999	44.405	0	1	2
