x	y	theta1	theta2	steps1	steps2	interval
0.000	1.945	137.068	-147.905	-139	-133	407
0.019	1.945	136.817	-147.841	3	-1	8
0.038	1.945	136.566	-147.776	3	-1	8
0.057	1.945	136.316	-147.710	3	-1	8
0.076	1.945	136.066	-147.645	3	-1	8
0.095	1.945	135.817	-147.578	3	-1	8
0.114	1.945	135.568	-147.511	3	-1	8
0.133	1.945	135.321	-147.444	3	-1	8
0.152	1.945	135.073	-147.376	3	-1	8
0.171	1.945	134.827	-147.308	3	-1	8
0.190	1.945	134.581	-147.240	3	-1	8
0.209	1.945	134.336	-147.170	3	-1	8
0.228	1.945	134.091	-147.101	3	-1	8
0.247	1.945	133.847	-147.031	3	-1	8
0.266	1.945	133.603	-146.960	3	-1	8
0.285	1.945	133.361	-146.889	3	-1	8
0.304	1.945	133.118	-146.818	3	-1	8
0.323	1.945	132.877	-146.746	3	-1	8
0.342	1.945	132.636	-146.673	3	-1	8
0.361	1.945	132.396	-146.600	3	-1	8
0.380	1.945	132.156	-146.527	3	-1	8
0.399	1.945	131.917	-146.454	3	-1	8
0.418	1.945	131.679	-146.379	3	-1	8
0.437	1.945	131.441	-146.305	3	-1	8
0.457	1.945	131.204	-146.230	3	-1	8
0.476	1.945	130.968	-146.154	3	-1	8
0.495	1.945	130.732	-146.078	3	-1	8
0.514	1.945	130.497	-146.002	3	-1	8
0.533	1.945	130.263	-145.925	3	-1	8
0.552	1.945	130.029	-145.848	3	-1	8
0.571	1.945	129.796	-145.770	3	-1	8
0.590	1.945	129.563	-145.692	3	-1	8
0.609	1.945	129.331	-145.614	3	-1	8
0.628	1.945	129.100	-145.535	3	-1	8
0.647	1.945	128.869	-145.456	3	-1	8
0.666	1.945	128.640	-145.376	3	-1	8
0.685	1.945	128.410	-145.296	3	-1	8
0.704	1.945	128.182	-145.215	3	-1	8
0.723	1.945	127.954	-145.135	3	-1	8
0.742	1.945	127.726	-145.053	3	-1	8
0.761	1.945	127.500	-144.972	3	-1	8
0.780	1.945	127.273	-144.889	3	-1	8
0.799	1.945	127.048	-144.807	3	-1	8
0.818	1.945	126.823	-144.724	3	-1	8
0.837	1.945	126.599	-144.641	3	-1	8
0.856	1.945	126.376	-144.557	3	-1	8
0.875	1.945	126.153	-144.473	3	-1	8
0.894	1.945	125.930	-144.389	3	-1	8
0.913	1.945	125.709	-144.304	3	-1	8
0.932	1.945	125.488	-144.219	3	-1	8
0.951	1.945	125.267	-144.133	3	-1	8
0.970	1.945	125.048	-144.047	2	-1	5
