x	y
0.000	1.028
0.000	1.056
0.000	1.084
0.000	1.111
0.000	1.139
0.000	1.167
0.000	1.194
0.000	1.222
0.000	1.249
0.000	1.277
0.000	1.305
0.000	1.332
0.000	1.360
0.000	1.387
0.000	1.415
0.000	1.443
0.000	1.470
0.000	1.498
0.000	1.525
0.000	1.553
0.000	1.581
0.000	1.608
0.000	1.636
0.000	1.664
0.000	1.691
0.000	1.719
0.000	1.746
0.000	1.774
0.000	1.802
0.000	1.829
0.000	1.857
0.000	1.884
0.000	1.912
0.000	1.940
0.000	1.967
0.000	1.995
0.000	2.022
0.000	2.050
0.000	2.078
0.000	2.105
0.000	2.133
0.000	2.160
0.000	2.188
0.000	2.216
0.000	2.243
0.000	2.271
0.000	2.299
0.000	2.299
0.003	2.354
0.011	2.409
0.011	2.409
0.024	2.466
0.038	2.523
0.053	2.579
0.069	2.636
0.087	2.691
0.105	2.747
0.125	2.802
0.145	2.857
0.167	2.911
0.190	2.965
0.190	2.965
0.205	3.000
0.220	3.035
0.220	3.035
0.235	3.070
0.251	3.106
0.251	3.106
0.267	3.141
0.283	3.176
0.283	3.176
0.296	3.203
0.309	3.231
0.322	3.259
0.335	3.286
0.348	3.314
0.348	3.314
0.362	3.345
0.377	3.376
0.392	3.406
0.392	3.406
0.423	3.451
0.423	3.451
0.426	3.524
0.421	3.597
0.421	3.597
0.420	3.661
0.428	3.725
0.444	3.787
0.468	3.847
0.499	3.904
0.499	3.904
0.533	3.950
0.569	3.993
0.608	4.035
0.650	4.073
0.694	4.109
0.740	4.143
0.743	4.135
0.754	4.189
0.767	4.241
0.783	4.293
0.802	4.344
0.824	4.394
0.848	4.443
0.875	4.490
0.904	4.536
0.936	4.581
0.936	4.581
0.967	4.637
0.967	4.637
0.986	4.664
1.005	4.691
1.005	4.691
1.025	4.714
1.046	4.737
1.066	4.760
1.086	4.783
1.106	4.806
1.106	4.806
1.145	4.852
1.185	4.897
1.228	4.940
1.273	4.980
1.321	5.018
1.370	5.053
1.421	5.086
1.421	5.086
1.467	5.114
1.516	5.138
1.567	5.157
1.620	5.171
1.673	5.179
1.728	5.183
1.782	5.180
1.782	5.180
1.837	5.213
1.893	5.245
1.950	5.275
2.008	5.303
2.067	5.330
2.067	5.330
2.119	5.352
2.172	5.372
2.226	5.390
2.281	5.407
2.336	5.421
2.391	5.434
2.447	5.445
2.503	5.454
2.560	5.462
2.617	5.467
2.673	5.470
2.730	5.472
2.787	5.471
2.844	5.469
2.901	5.464
2.958	5.458
2.958	5.458
3.017	5.442
3.077	5.432
3.138	5.428
3.199	5.430
3.199	5.430
3.227	5.430
3.255	5.430
3.283	5.429
3.311	5.429
3.339	5.429
3.339	5.429
3.373	5.429
3.406	5.429
3.440	5.430
3.473	5.430
3.473	5.430
3.502	5.430
3.531	5.430
3.560	5.431
3.589	5.431
3.618	5.431
3.647	5.431
3.676	5.432
3.705	5.432
3.734	5.432
3.763	5.432
3.791	5.433
3.820	5.433
3.849	5.433
3.878	5.433
3.878	5.433
3.906	5.433
3.933	5.433
3.960	5.433
3.988	5.433
4.015	5.433
4.015	5.433
4.043	5.433
4.072	5.433
4.100	5.432
4.128	5.432
4.156	5.432
4.156	5.432
4.183	5.432
4.211	5.432
4.238	5.432
4.265	5.432
4.292	5.432
4.319	5.432
4.346	5.432
4.373	5.432
4.401	5.432
4.428	5.432
4.455	5.432
4.482	5.432
4.509	5.432
4.536	5.432
4.563	5.432
4.591	5.432
4.618	5.432
4.645	5.432
4.672	5.432
4.699	5.432
4.726	5.432
4.753	5.432
4.781	5.432
4.808	5.432
4.835	5.432
4.862	5.432
4.889	5.432
4.916	5.432
4.943	5.432
4.971	5.432
4.998	5.432
