x	y
5.169	1.931
5.161	1.951
5.153	1.972
5.147	1.993
5.141	2.014
5.136	2.035
5.130	2.046
5.124	2.025
5.118	2.004
5.114	1.982
5.111	1.960
5.109	1.939
5.107	1.917
5.105	1.895
5.104	1.873
5.103	1.851
5.102	1.829
5.102	1.807
5.102	1.785
5.103	1.763
5.105	1.741
5.108	1.719
5.112	1.698
5.117	1.676
5.122	1.655
5.128	1.634
5.135	1.613
5.141	1.592
5.148	1.570
5.156	1.551
5.165	1.530
5.174	1.510
5.183	1.490
5.192	1.470
5.202	1.451
5.214	1.432
5.225	1.413
5.236	1.393
5.247	1.374
5.259	1.357
5.273	1.339
5.286	1.321
5.299	1.303
5.312	1.286
5.326	1.269
5.341	1.252
5.342	1.270
5.343	1.291
5.343	1.314
5.344	1.335
5.345	1.357
5.348	1.380
5.352	1.401
5.358	1.422
5.366	1.442
5.380	1.455
5.392	1.438
5.403	1.419
5.415	1.399
5.426	1.380
5.437	1.361
5.446	1.342
5.455	1.321
5.463	1.301
5.472	1.280
5.480	1.260
5.486	1.239
5.492	1.218
5.498	1.196
5.504	1.175
5.509	1.154
5.511	1.132
5.514	1.110
5.516	1.088
5.518	1.065
5.518	1.044
5.517	1.022
5.515	1.000
5.513	0.979
5.511	0.957
5.506	0.936
5.502	0.914
5.504	0.896
5.524	0.900
5.544	0.909
5.564	0.919
5.583	0.929
5.602	0.940
5.621	0.952
5.639	0.964
5.657	0.977
5.675	0.988
5.692	0.993
5.697	0.972
5.702	0.950
5.707	0.929
5.712	0.908
5.718	0.887
5.725	0.866
5.733	0.845
5.741	0.825
5.749	0.804
5.757	0.784
5.767	0.764
5.777	0.745
5.789	0.726
5.800	0.707
5.812	0.688
5.823	0.669
5.837	0.653
5.852	0.636
5.866	0.619
5.881	0.602
5.896	0.587
5.913	0.573
5.930	0.558
5.947	0.544
5.964	0.530
5.982	0.518
6.001	0.507
6.020	0.496
6.039	0.484
6.058	0.474
6.078	0.464
6.098	0.455
6.118	0.446
6.138	0.437
6.158	0.429
6.179	0.422
6.184	0.429
6.174	0.449
6.164	0.469
6.156	0.489
6.148	0.510
6.139	0.531
6.131	0.551
6.126	0.572
6.121	0.594
6.117	0.616
6.113	0.637
6.108	0.659
6.107	0.680
6.106	0.702
6.105	0.725
6.104	0.747
6.105	0.768
6.108	0.790
6.111	0.812
6.115	0.834
6.118	0.856
6.124	0.877
6.130	0.898
6.144	0.912
6.160	0.898
6.175	0.882
6.191	0.866
6.206	0.851
6.224	0.838
6.241	0.825
6.261	0.815
6.281	0.806
6.302	0.800
6.323	0.794
6.345	0.790
6.353	0.802
6.353	0.824
6.353	0.846
6.353	0.868
6.353	0.890
6.354	0.912
6.354	0.934
6.356	0.956
6.360	0.977
6.367	0.998
6.376	1.017
6.388	1.037
6.399	1.056
6.411	1.073
6.425	1.091
6.440	1.107
6.455	1.122
6.472	1.136
6.489	1.151
6.506	1.165
6.522	1.179
6.538	1.195
6.554	1.210
6.570	1.225
6.586	1.241
6.602	1.256
6.618	1.271
6.633	1.287
6.646	1.304
6.659	1.322
6.672	1.340
6.685	1.358
6.698	1.376
6.711	1.394
6.724	1.412
6.735	1.430
6.745	1.450
6.754	1.470
6.764	1.490
6.773	1.510
6.783	1.530
6.792	1.550
6.801	1.570
6.807	1.591
6.813	1.613
6.818	1.634
6.824	1.655
6.830	1.677
6.836	1.698
6.841	1.720
6.846	1.741
6.848	1.763
6.851	1.785
6.853	1.807
6.854	1.829
6.855	1.851
6.856	1.873
6.857	1.895
6.858	1.917
6.859	1.939
6.859	1.961
6.860	1.983
6.860	2.005
6.861	2.027
6.850	2.028
6.843	2.007
6.837	1.986
6.831	1.965
6.823	1.945
6.815	1.924
6.806	1.904
6.798	1.883
6.789	1.863
6.781	1.842
6.772	1.822
6.764	1.801
6.754	1.783
6.741	1.764
6.729	1.746
6.716	1.728
6.704	1.709
6.691	1.691
6.679	1.673
6.666	1.654
6.654	1.636
6.641	1.619
6.626	1.603
6.610	1.587
6.595	1.571
6.580	1.555
6.565	1.539
6.549	1.523
6.534	1.507
6.519	1.491
6.504	1.475
6.488	1.458
6.472	1.445
6.454	1.431
6.437	1.417
6.420	1.403
6.403	1.389
6.386	1.375
6.369	1.361
6.351	1.347
6.334	1.333
6.317	1.319
6.300	1.305
6.283	1.292
6.265	1.279
6.246	1.267
6.228	1.254
6.210	1.242
6.192	1.229
6.173	1.217
6.155	1.206
6.136	1.194
6.117	1.182
6.098	1.170
6.080	1.158
6.061	1.147
6.042	1.135
6.023	1.124
6.004	1.112
5.985	1.101
5.966	1.089
5.947	1.092
5.942	1.112
5.939	1.134
5.934	1.155
5.925	1.175
5.916	1.196
5.907	1.215
5.896	1.234
5.885	1.254
5.873	1.272
5.860	1.290
5.847	1.307
5.832	1.324
5.817	1.340
5.802	1.356
5.786	1.370
5.769	1.385
5.752	1.399
5.736	1.413
5.718	1.427
5.701	1.441
5.683	1.454
5.666	1.468
5.648	1.480
5.630	1.493
5.612	1.505
5.593	1.518
5.575	1.530
5.558	1.543
5.539	1.556
5.521	1.568
5.503	1.581
5.485	1.594
5.467	1.607
5.449	1.620
5.432	1.632
5.415	1.647
5.398	1.661
5.382	1.675
5.365	1.690
5.348	1.704
5.331	1.719
5.316	1.734
5.301	1.750
5.286	1.766
5.271	1.783
5.256	1.799
5.241	1.815
5.228	1.833
5.216	1.851
5.204	1.870
5.192	1.889
5.180	1.907
5.469	2.030
5.449	2.039
5.435	2.037
5.443	2.017
5.451	1.996
5.460	1.976
5.469	1.956
